field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,Lebanon,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,1
Country or Area,Lesotho,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,1
Country or Area,Liberia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,61,Value Footnotes,1
Country or Area,Libya,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,89,Value Footnotes,1
Country or Area,Lithuania,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Madagascar,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,64,Value Footnotes,1
Country or Area,Malawi,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,75,Value Footnotes,1
Country or Area,Malaysia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Maldives,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,2
Country or Area,Mali,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,31,Value Footnotes,1
Country or Area,Malta,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,92,Value Footnotes,2
Country or Area,Mauritania,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,58,Value Footnotes,1
Country or Area,Mauritius,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,89,Value Footnotes,1
Country or Area,Mexico,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Middle East and North Africa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,77,Value Footnotes,3
Country or Area,Mongolia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,97,Value Footnotes,1
Country or Area,Montenegro,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Morocco,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,56,Value Footnotes,1
Country or Area,Mozambique,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,56,Value Footnotes,1
Country or Area,Myanmar,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,92,Value Footnotes,1
Country or Area,Namibia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,89,Value Footnotes,1
Country or Area,Nepal,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,60,Value Footnotes,1
Country or Area,Nicaragua,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,78,Value Footnotes,2
Country or Area,Niger,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,29,Value Footnotes,2
Country or Area,Nigeria,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,61,Value Footnotes,1
Country or Area,Oman,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,87,Value Footnotes,1
Country or Area,Pakistan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,55,Value Footnotes,1
Country or Area,Panama,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,1
Country or Area,Papua New Guinea,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,61,Value Footnotes,1
Country or Area,Paraguay,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,1
Country or Area,Peru,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,1
Country or Area,Philippines,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,95,Value Footnotes,1
Country or Area,Poland,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Portugal,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,95,Value Footnotes,1
Country or Area,Qatar,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,96,Value Footnotes,1
Country or Area,Republic of Moldova,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Romania,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Russian Federation,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Rwanda,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,71,Value Footnotes,1
Country or Area,Samoa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Sao Tome and Principe,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,89,Value Footnotes,1
Country or Area,Saudi Arabia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,87,Value Footnotes,1
Country or Area,Senegal,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,50,Value Footnotes,1
Country or Area,Serbia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Seychelles,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,92,Value Footnotes,1
Country or Area,Sierra Leone,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,42,Value Footnotes,1
Country or Area,Singapore,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,96,Value Footnotes,1
Country or Area,Slovenia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,South Africa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,89,Value Footnotes,1
Country or Area,South Asia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,62,Value Footnotes,3
Country or Area,Spain,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Sri Lanka,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,91,Value Footnotes,1
Country or Area,State of Palestine,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,95,Value Footnotes,1
Country or Area,Sub-Saharan Africa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,63,Value Footnotes,3
Country or Area,Suriname,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,95,Value Footnotes,1
Country or Area,Swaziland,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,87,Value Footnotes,1
Country or Area,Syrian Arab Republic,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,83,Value Footnotes,1
Country or Area,Tajikistan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Thailand,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,94,Value Footnotes,2
Country or Area,The former Yugoslav Republic of Macedonia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,97,Value Footnotes,1
Country or Area,Timor-Leste,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,58,Value Footnotes,1
Country or Area,Togo,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,57,Value Footnotes,1
Country or Area,Tonga,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,2
Country or Area,Trinidad and Tobago,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Tunisia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,78,Value Footnotes,1
Country or Area,Turkey,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,91,Value Footnotes,1
Country or Area,Turkmenistan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,Uganda,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,73,Value Footnotes,1
Country or Area,Ukraine,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,100,Value Footnotes,1
Country or Area,United Arab Emirates,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,90,Value Footnotes,2
Country or Area,United Republic of Tanzania,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,73,Value Footnotes,1
Country or Area,Uruguay,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,98,Value Footnotes,1
Country or Area,Uzbekistan,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,99,Value Footnotes,1
Country or Area,Vanuatu,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,83,Value Footnotes,1
Country or Area,Venezuela (Bolivarian Republic of),Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,96,Value Footnotes,1
Country or Area,Viet Nam,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,93,Value Footnotes,1
Country or Area,Western and Central Africa,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,57,Value Footnotes,3
Country or Area,World,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,84,Value Footnotes,3
Country or Area,Yemen,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,64,Value Footnotes,1
Country or Area,Zambia,Subgroup,Total 15+ yr,Year,2007-2011,Source,UN_UNESCO Institute for Statistics (UIS),Unit,Percent,Value,71,Value Footnotes,1
